dgp,bidders,auctions,repetition,exact_reserve,regularized_target,population_root_count,dml_estimate,dml_target_error,dml_exact_error,standard_error,ci_lower,ci_upper,covers_regularized_target,covers_exact_reserve,sample_root_count,direct_estimate,direct_exact_error,maxima_below_exact_reserve
Mixture,5,2000,124,0.7580282496557116,0.8749741936852664,1,0.8582813621837883,-0.016692831501478156,0.10025311252807667,0.02154927943957253,0.8160447744822261,0.9005179498853504,True,False,1,0.8055735384053335,0.04754528874962194,5
Mixture,5,2000,125,0.7580282496557116,0.8749741936852664,1,0.8564441918660495,-0.018530001819216935,0.09841594221033789,0.01938409483312459,0.8184513659931253,0.8944370177389737,True,False,1,0.8527378266600044,0.09470957700429283,2
Mixture,5,2000,126,0.7580282496557116,0.8749741936852664,1,0.8787424023124606,0.0037682086271941806,0.12071415265674901,0.02406171920852121,0.8315814326637591,0.9259033719611621,True,False,1,0.8849499735779014,0.1269217239221898,4
Mixture,5,2000,127,0.7580282496557116,0.8749741936852664,1,0.90315831600657,0.02818412232130363,0.14513006635085846,0.023137008385905992,0.8578097795701943,0.9485068524429457,True,False,1,0.8105595027159522,0.052531253060240646,2
Mixture,5,2000,128,0.7580282496557116,0.8749741936852664,1,0.8711741508884742,-0.0038000427967922468,0.11314590123276258,0.02192028173826997,0.8282103986814651,0.9141379030954833,True,False,1,0.8709268315745228,0.11289858191881119,2
Mixture,5,2000,129,0.7580282496557116,0.8749741936852664,1,0.8608336005167673,-0.014140593168499138,0.10280535086105569,0.020230345874148483,0.8211821226034363,0.9004850784300983,True,False,1,0.8658434132844892,0.10781516362877763,2
Mixture,5,2000,130,0.7580282496557116,0.8749741936852664,1,0.8808700688013289,0.005895875116062488,0.12284181914561731,0.02270075515340303,0.836376588700659,0.9253635489019988,True,False,1,0.7709544491291875,0.012926199473475952,2
Mixture,5,2000,131,0.7580282496557116,0.8749741936852664,1,0.8858696263938012,0.010895432708534769,0.1278413767380896,0.0247685693383035,0.8373232304907263,0.934416022296876,True,False,1,0.8693589199992751,0.11133067034356348,5
Mixture,5,2000,132,0.7580282496557116,0.8749741936852664,1,0.8643514513533561,-0.010622742331910295,0.10632320169764453,0.02316631283489755,0.818945478196957,0.9097574245097553,True,False,1,0.7893982016100285,0.03136995195431691,2
Mixture,5,2000,133,0.7580282496557116,0.8749741936852664,1,0.8760007248763594,0.001026531191092972,0.1179724752206478,0.022175300713316613,0.8325371354782588,0.91946431427446,True,False,1,0.8801595718974253,0.12213132224171375,2
Mixture,5,2000,134,0.7580282496557116,0.8749741936852664,1,0.885964651281135,0.010990457595868586,0.1279364016254234,0.022692837845922565,0.8414866891031267,0.9304426134591433,True,False,1,0.7832141415232086,0.02518589186749698,1
Mixture,5,2000,135,0.7580282496557116,0.8749741936852664,1,0.8820170757503523,0.007042882065085854,0.12398882609464068,0.022755380022799487,0.8374165309056653,0.9266176205950393,True,False,1,0.7709847027593252,0.012956453103613597,0
